updated,date through,zipcode,confirmed_cases
2020-04-08,2020-04-07,92024,28
2020-04-08,2020-04-07,92025,13
2020-04-08,2020-04-07,92026,9
2020-04-08,2020-04-07,92027,13
2020-04-08,2020-04-07,92028,6
2020-04-08,2020-04-07,92029,12
2020-04-08,2020-04-07,92037,33
2020-04-08,2020-04-07,92040,14
2020-04-08,2020-04-07,92054,8
2020-04-08,2020-04-07,92056,12
2020-04-08,2020-04-07,92057,9
2020-04-08,2020-04-07,92058,7
2020-04-08,2020-04-07,92061,2
2020-04-08,2020-04-07,92064,16
2020-04-08,2020-04-07,92065,10
2020-04-08,2020-04-07,92066,2
2020-04-08,2020-04-07,92067,12
2020-04-08,2020-04-07,92069,10
2020-04-08,2020-04-07,92071,15
2020-04-08,2020-04-07,92075,4
2020-04-08,2020-04-07,92078,13
2020-04-08,2020-04-07,92081,11
2020-04-08,2020-04-07,92082,3
2020-04-08,2020-04-07,92083,9
2020-04-08,2020-04-07,92084,10
2020-04-08,2020-04-07,92091,2
2020-04-08,2020-04-07,92093,4
2020-04-08,2020-04-07,92101,38
2020-04-08,2020-04-07,92102,21
2020-04-08,2020-04-07,92103,70
2020-04-08,2020-04-07,92104,36
2020-04-08,2020-04-07,92105,41
2020-04-08,2020-04-07,92106,9
2020-04-08,2020-04-07,92107,3
2020-04-08,2020-04-07,92108,17
2020-04-08,2020-04-07,92109,27
2020-04-08,2020-04-07,92110,17
2020-04-08,2020-04-07,92111,19
2020-04-08,2020-04-07,92113,40
2020-04-08,2020-04-07,92114,31
2020-04-08,2020-04-07,92115,31
2020-04-08,2020-04-07,92116,34
2020-04-08,2020-04-07,92117,21
2020-04-08,2020-04-07,92118,4
2020-04-08,2020-04-07,92119,9
2020-04-08,2020-04-07,92120,20
2020-04-08,2020-04-07,92121,3
2020-04-08,2020-04-07,92122,15
2020-04-08,2020-04-07,92123,17
2020-04-08,2020-04-07,92124,14
2020-04-08,2020-04-07,92126,31
2020-04-08,2020-04-07,92127,20
2020-04-08,2020-04-07,92128,26
2020-04-08,2020-04-07,92129,19
2020-04-08,2020-04-07,92130,22
2020-04-08,2020-04-07,92131,6
2020-04-08,2020-04-07,92136,3
